"滚粗"
"停牌"
"复牌"
"重组"
"并购"
"涨停"
"跌停"
"回补"
"跳空"
"跌穿"
"入市"
"大跌"
"闪崩"
"再融资"
"放缓"
"大涨"
"涨逾"
"跌逾"
"飞涨"
"跌破"
"注入"
"质押"
"收购"
"挂牌"
"增持"
"减持"
"重仓"
"借壳"
"举牌"
"特停"
"自查"
"获批"
"爆仓"
"限售"
"解禁"
"置换"
"配股"
"救市"
"退市"
"稳任"
"任"
"下称"
"续征"
"看不清"
"话里"
